,time,unit,layers,value
6658,59.0,33,4,3.94621344888
6659,60.0,33,4,3.94726745512
6660,61.0,33,4,3.94822229251
6661,62.0,33,4,3.94908710676
6662,63.0,33,4,3.94987033989
6663,64.0,33,4,3.95057952684
6664,65.0,33,4,3.95122136339
6665,66.0,33,4,3.95180204936
6666,67.0,33,4,3.95232736185
6667,68.0,33,4,3.95280251263
6668,69.0,33,4,3.95323237707
6669,70.0,33,4,3.95362156276
6670,71.0,33,4,3.95397372104
6671,72.0,33,4,3.95429226997
6672,73.0,33,4,3.95458060281
6673,74.0,33,4,3.95484197048
6674,75.0,33,4,3.95507938002
6675,76.0,33,4,3.9552946428
6676,77.0,33,4,3.95548967113
6677,78.0,33,4,3.95566626223
6678,79.0,33,4,3.95582600625
6679,80.0,33,4,3.95597037521
6680,81.0,33,4,3.95610086768
6681,82.0,33,4,3.95621882581
6682,83.0,33,4,3.95632554477
6683,84.0,33,4,3.95642231121
6684,85.0,33,4,3.95651008829
6685,86.0,33,4,3.95658951107
6686,87.0,33,4,3.95666135701
6687,88.0,33,4,3.95672633638
6688,89.0,33,4,3.95678510274
6689,90.0,33,4,3.9568382108
6690,91.0,33,4,3.95688616586
6691,92.0,33,4,3.9569294505
6692,93.0,33,4,3.95696851901
6693,94.0,33,4,3.95700379923
6694,95.0,33,4,3.9570356387
6695,96.0,33,4,3.9570643849
6696,97.0,33,4,3.95709038323
6697,98.0,33,4,3.95711397533
6698,99.0,33,4,3.95713547505
6699,100.0,33,4,3.95715508636
6700,101.0,33,4,3.95717302536
6701,102.0,33,4,3.95718947789
6702,103.0,33,4,3.95720458972
6703,104.0,33,4,3.95721846043
6704,105.0,33,4,3.95723113627
6705,106.0,33,4,3.95724260194
6706,107.0,33,4,3.95725282006
6707,108.0,33,4,3.95726202144
6708,109.0,33,4,3.95727028702
6709,110.0,33,4,3.95727764074
6710,111.0,33,4,3.95728409374
6711,112.0,33,4,3.95728964569
6712,113.0,33,4,3.95729428612
6713,114.0,33,4,3.95729799573
6714,115.0,33,4,3.95730075715
6715,116.0,33,4,3.9573027274
6716,117.0,33,4,3.95730405333
6717,118.0,33,4,3.95730487013
6718,119.0,33,4,3.9573053539
6719,120.0,33,4,3.95730572866
6720,121.0,33,4,3.95730627379
6721,122.0,33,4,3.95730733171
6722,123.0,33,4,3.95730931141
6723,124.0,33,4,3.95731200728
6724,125.0,33,4,3.95731505967
6725,126.0,33,4,3.95731839647
6726,127.0,33,4,3.95732187549
6727,128.0,33,4,3.95732527177
6728,129.0,33,4,3.95732826454
6729,130.0,33,4,3.95733083931
6730,131.0,33,4,3.95733312756
6731,132.0,33,4,3.95733502339
6732,133.0,33,4,3.95733641851
6733,134.0,33,4,3.95733720592
6734,135.0,33,4,3.9573372839
6735,136.0,33,4,3.95733670277
6736,137.0,33,4,3.95733566041
6737,138.0,33,4,3.95733434042
6738,139.0,33,4,3.95733302106
6739,140.0,33,4,3.95733209151
6740,141.0,33,4,3.95733206926
6741,142.0,33,4,3.95733306303
6742,143.0,33,4,3.95733466194
6743,144.0,33,4,3.9573367972
6744,145.0,33,4,3.95733928205
6745,146.0,33,4,3.95734178072
6746,147.0,33,4,3.95734377645
6747,148.0,33,4,3.95734506175
6748,149.0,33,4,3.95734599433
6749,150.0,33,4,3.95734646012
6750,151.0,33,4,3.95734636315
6751,152.0,33,4,3.95734564556
6752,153.0,33,4,3.95734430326
6753,154.0,33,4,3.95734238897
6754,155.0,33,4,3.95734001803
6755,156.0,33,4,3.95733742188
6756,157.0,33,4,3.95733495354
6757,158.0,33,4,3.95733310893
6758,159.0,33,4,3.95733255003
6759,160.0,33,4,3.95733361471
6760,161.0,33,4,3.95733565498
6761,162.0,33,4,3.95733852573
6762,163.0,33,4,3.9573419352
6763,164.0,33,4,3.95734537365
6764,165.0,33,4,3.95734806642
6765,166.0,33,4,3.95734948197
6766,167.0,33,4,3.95735029913
6767,168.0,33,4,3.95735044808
6768,169.0,33,4,3.95734987204
6769,170.0,33,4,3.95734860706
6770,171.0,33,4,3.95734676309
6771,172.0,33,4,3.95734457438
6772,173.0,33,4,3.95734245747
6773,174.0,33,4,3.95734102675
6774,175.0,33,4,3.95734094093
6775,176.0,33,4,3.95734177895
6776,177.0,33,4,3.95734327192
6777,178.0,33,4,3.95734499683
6778,179.0,33,4,3.95734617729
6779,180.0,33,4,3.9573464075
6780,181.0,33,4,3.95734617562
6781,182.0,33,4,3.95734546196
6782,183.0,33,4,3.957344401
6783,184.0,33,4,3.95734331817
6784,185.0,33,4,3.9573421619
6785,186.0,33,4,3.95734099527
6786,187.0,33,4,3.95734010577
6787,188.0,33,4,3.95733989115
6788,189.0,33,4,3.95734066074
6789,190.0,33,4,3.95734207527
6790,191.0,33,4,3.9573439602
6791,192.0,33,4,3.95734596602
6792,193.0,33,4,3.95734747103
6793,194.0,33,4,3.95734778915
6794,195.0,33,4,3.95734767366
6795,196.0,33,4,3.95734727271
6796,197.0,33,4,3.95734654255
6797,198.0,33,4,3.9573454269
6798,199.0,33,4,3.9573438723
6799,200.0,33,4,3.95734211297
6800,1.0,34,4,0.313230427891
6801,2.0,34,4,0.59785574361
6802,3.0,34,4,0.856488191808
6803,4.0,34,4,1.09150144998
6804,5.0,34,4,1.30505250233
6805,6.0,34,4,1.49910135864
6806,7.0,34,4,1.67542902911
6807,8.0,34,4,1.83565395193
6808,9.0,34,4,1.9812466308
6809,10.0,34,4,2.11354338025
6810,11.0,34,4,2.23375838664
6811,12.0,34,4,2.34299499499
6812,13.0,34,4,2.44225581908
6813,14.0,34,4,2.53245181096
6814,15.0,34,4,2.61441089632
6815,16.0,34,4,2.68888521111
6816,17.0,34,4,2.75655830753
6817,18.0,34,4,2.81805125793
6818,19.0,34,4,2.87392844509
6819,20.0,34,4,2.92470282492
6820,21.0,34,4,2.97084026565
6821,22.0,34,4,3.0127643839
6822,23.0,34,4,3.05085956825
6823,24.0,34,4,3.08547551489
6824,25.0,34,4,3.11693020281
6825,26.0,34,4,3.14551284349
6826,27.0,34,4,3.17148538057
6827,28.0,34,4,3.19508599377
6828,29.0,34,4,3.21653121803
6829,30.0,34,4,3.236017825
6830,31.0,34,4,3.25372493559
6831,32.0,34,4,3.2698149294
