,sample,layer,time-to-half-max (min)
867,28,28,6107.5
868,28,29,5897.5
869,28,30,8087.5
870,29,1,245.0
871,29,2,690.0
872,29,3,892.5
873,29,4,1247.5
874,29,5,1500.0
875,29,6,1710.0
876,29,7,1900.0
877,29,8,2100.0
878,29,9,2287.5
879,29,10,2487.5
880,29,11,2675.0
881,29,12,2875.0
882,29,13,3060.0
883,29,14,3257.5
884,29,15,3440.0
885,29,16,3637.5
886,29,17,3822.5
887,29,18,4020.0
888,29,19,4200.0
889,29,20,4390.0
890,29,21,4575.0
891,29,22,4767.5
892,29,23,4957.5
893,29,24,5147.5
894,29,25,5337.5
895,29,26,5530.0
896,29,27,5720.0
897,29,28,5912.5
898,29,29,6105.0
899,29,30,6295.0
900,30,1,307.5
901,30,2,567.5
902,30,3,732.5
903,30,4,1045.0
904,30,5,1285.0
905,30,6,1492.5
906,30,7,1685.0
907,30,8,1882.5
908,30,9,2075.0
909,30,10,2267.5
910,30,11,2457.5
911,30,12,2650.0
912,30,13,2842.5
913,30,14,3032.5
914,30,15,3225.0
915,30,16,3415.0
916,30,17,3607.5
917,30,18,3800.0
918,30,19,3990.0
919,30,20,4182.5
920,30,21,4372.5
921,30,22,4565.0
922,30,23,4757.5
923,30,24,4950.0
924,30,25,5142.5
925,30,26,5335.0
926,30,27,5527.5
927,30,28,5720.0
928,30,29,5910.0
929,30,30,6115.0
930,31,1,255.0
931,31,2,552.5
932,31,3,520.0
933,31,4,765.0
934,31,5,825.0
935,31,6,1090.0
936,31,7,1067.5
937,31,8,1270.0
938,31,9,1382.5
939,31,10,1735.0
940,31,11,1987.5
941,31,12,2207.5
942,31,13,2412.5
943,31,14,2602.5
944,31,15,2792.5
945,31,16,2985.0
946,31,17,3175.0
947,31,18,3365.0
948,31,19,3557.5
949,31,20,3747.5
950,31,21,3932.5
951,31,22,4127.5
952,31,23,4322.5
953,31,24,4520.0
954,31,25,4725.0
955,31,26,4937.5
956,31,27,5160.0
957,31,28,5692.5
958,31,29,10272.5
959,31,30,6685.0
960,32,1,297.5
961,32,2,637.5
962,32,3,805.0
963,32,4,1130.0
964,32,5,1255.0
