,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
1295.0,6331.70258048,2178.31732973,9775.72069994,4981.05128052,6321.44611392
1297.5,6332.09471416,2176.22633767,9786.56173886,4969.71632524,6336.60432729
1300.0,6332.48303073,2174.15398568,9797.34299206,4958.44496645,6351.75333711
1302.5,6332.86756733,2172.10011075,9808.06466633,4947.23692403,6366.89277441
1305.0,6333.24836073,2170.06455382,9818.72696989,4936.09191334,6382.02227591
1307.5,6333.6254474,2168.04716028,9829.33011233,4925.00964381,6397.14149372
1310.0,6333.99886347,2166.04778038,9839.87430463,4913.98981834,6412.25008121
1312.5,6334.36864475,2164.06626981,9850.35975916,4903.03213284,6427.34769306
1315.0,6334.73482674,2162.10249027,9860.78668971,4892.13627567,6442.4339852
1317.5,6335.09744465,2160.15629663,9871.15531141,4881.30200489,6457.50861486
1320.0,6335.45653335,2158.22750237,9881.46584083,4870.52911899,6472.57124053
1322.5,6335.81212745,2156.31595052,9891.7184959,4859.81736384,6487.621522
1325.0,6336.16426124,2154.42148784,9901.91348509,4849.16649084,6502.65912033
1327.5,6336.51296874,2152.54396093,9912.05098448,4838.57625752,6517.68369787
1330.0,6336.85828368,2150.68321593,9922.13120293,4828.04642802,6532.69491822
1332.5,6337.20023953,2148.8390982,9932.1543538,4817.57677378,6547.69245201
1335.0,6337.53886945,2147.0114519,9942.12065131,4807.16707316,6562.67601112
1337.5,6337.87420639,2145.20011969,9952.03031057,4796.81701784,6577.645284
1340.0,6338.20628299,2143.4049601,9961.88354757,4786.52628754,6592.59995388
1342.5,6338.53513165,2141.62584555,9971.68057917,4776.2946033,6607.53970624
1345.0,6338.86078455,2139.86263435,9981.42162311,4766.12168095,6622.46422882
1347.5,6339.18327357,2138.11518656,9991.10689802,4756.00723059,6637.37321165
1350.0,6339.50263041,2136.38336407,10000.7366234,4745.95095609,6652.26634702
1352.5,6339.81888648,2134.66703081,10010.3110196,4735.95255453,6667.14332947
1355.0,6340.13207301,2132.9660528,10019.8303078,4726.01171926,6682.00385583
1357.5,6340.4422209,2131.28029833,10029.2947103,4716.12824141,6696.8476252
1360.0,6340.74935437,2129.60963749,10038.70445,4706.3019006,6711.67433893
1362.5,6341.05349876,2127.95392899,10048.0597508,4696.53244681,6726.48370066
1365.0,6341.35468306,2126.31303491,10057.3608375,4686.81963577,6741.27540504
1367.5,6341.652936,2124.68682209,10066.6079357,4677.1632295,6756.0491299
1370.0,6341.94828603,2123.07515785,10075.8012496,4667.56299692,6770.80457545
1372.5,6342.24076136,2121.47790991,10084.9409776,4658.01871433,6785.54144442
1375.0,6342.53038992,2119.89494625,10094.02734,4648.53015789,6800.25944117
1377.5,6342.81719939,2118.326135,10103.0605574,4639.09700054,6814.95827162
1380.0,6343.1012172,2116.77134434,10112.040851,4629.71894679,6829.63764332
1382.5,6343.38247053,2115.23044563,10120.9684423,4620.39572216,6844.29726543
1385.0,6343.66098631,2113.70332631,10129.8435534,4611.12704725,6858.93684867
1387.5,6343.93679125,2112.18986712,10138.6664068,4601.91263718,6873.55610542
1390.0,6344.20991179,2110.68994925,10147.4372254,4592.75220114,6888.15474961
1392.5,6344.48037417,2109.2034562,10156.1562327,4583.64544183,6902.7324968
1395.0,6344.74820439,2107.73027398,10164.8236524,4574.59206944,6917.28906439
1397.5,6345.01342821,2106.27029127,10173.439709,4565.59189858,6931.82421567
1400.0,6345.2760712,2104.82339962,10182.0046272,4556.64469896,6946.33771615
1402.5,6345.53615868,2103.38949369,10190.5186322,4547.75022834,6960.82930664
1405.0,6345.79371577,2101.9684581,10198.9819498,4538.90825047,6975.29873089
1407.5,6346.0487674,2100.56016277,10207.3948061,4530.11853551,6989.74573556
1410.0,6346.30133826,2099.16449271,10215.7574276,4521.38086063,7004.17007023
1412.5,6346.55145287,2097.78133275,10224.0700391,4512.69501053,7018.5714874
1415.0,6346.79913552,2096.41056705,10232.3328363,4504.06075515,7032.94974252
1417.5,6347.04441033,2095.05207879,10240.5460316,4495.4777653,7047.30459392
1420.0,6347.28730123,2093.70574991,10248.7098457,4486.94576765,7061.6358029
1422.5,6347.52783195,2092.37146077,10256.8244997,4478.46449542,7075.94313366
1425.0,6347.76602604,2091.04909051,10264.8902146,4470.03367711,7090.22635331
1427.5,6348.00190688,2089.73854656,10272.9072115,4461.65303597,7104.48522618
1430.0,6348.23549768,2088.43973652,10280.8757114,4453.32228948,7118.71946623
1432.5,6348.46682146,2087.15255872,10288.7959357,4445.04114891,7132.92881951
1435.0,6348.69590061,2085.87691413,10296.6681055,4436.80935164,7147.1130458
1437.5,6348.92275143,2084.6127066,10304.4924423,4428.62672504,7161.27190651
1440.0,6349.14739365,2083.35984325,10312.2691675,4420.49303757,7175.40516463
1442.5,6349.36984855,2082.11823472,10319.9985025,4412.40805741,7189.51258481
1445.0,6349.59013724,2080.88779557,10327.680669,4404.37155878,7203.59393328
1447.5,6349.80828058,2079.66843859,10335.3158885,4396.38332243,7217.64897791
1450.0,6350.02429927,2078.46004017,10342.9043828,4388.44313616,7231.6774882
1452.5,6350.23821379,2077.26249501,10350.4463735,4380.55079532,7245.67923523
1455.0,6350.45004443,2076.0757024,10357.9420826,4372.70605833,7259.65399172
1457.5,6350.65981128,2074.89956025,10365.3917295,4364.90861011,7273.60153202
1460.0,6350.86753425,2073.73396467,10372.7955279,4357.15819566,7287.52165549
1462.5,6351.07323306,2072.57880961,10380.1536971,4349.45455819,7301.41421541
1465.0,6351.27692723,2071.43398642,10387.4664567,4341.7974363,7315.27901716
1467.5,6351.47863612,2070.29938343,10394.7340263,4334.18656355,7329.11586582
1470.0,6351.6783789,2069.17490568,10401.9566252,4326.62166791,7342.92456971
1472.5,6351.87617455,2068.06049319,10409.1344728,4319.10247131,7356.70494042
1475.0,6352.0720419,2066.95605975,10416.2677879,4311.62874791,7370.45679276
1477.5,6352.2659996,2065.86152115,10423.3567896,4304.20032583,7384.17994481
1480.0,6352.45806612,2064.77679669,10430.4016966,4296.81698027,7397.87421787
1482.5,6352.64825977,2063.70180971,10437.4027273,4289.47849161,7411.53943651
1485.0,6352.83659871,2062.63648798,10444.3601002,4282.18464629,7425.17542854
1487.5,6353.02310091,2061.58076424,10451.2740334,4274.9352373,7438.78202502
1490.0,6353.20778422,2060.53457641,10458.1447448,4267.7300647,7452.35906021
1492.5,6353.3906663,2059.49782504,10464.9724523,4260.568936,7465.90631507
1495.0,6353.57176468,2058.47040538,10471.7573733,4253.45159231,7479.42356222
1497.5,6353.75109673,2057.45223308,10478.4997251,4246.37774802,7492.91061936
1500.0,6353.92867968,2056.44322245,10485.1997249,4239.34716183,7506.36730554
1502.5,6354.1045306,2055.44328596,10491.8575894,4232.35958845,7519.79344122
1505.0,6354.27866644,2054.45233382,10498.4735353,4225.41477811,7533.18884827
1507.5,6354.451104,2053.47027353,10505.0477789,4218.51247613,7546.55334993
1510.0,6354.62185994,2052.49700935,10511.5805363,4211.6524224,7559.88677083
1512.5,6354.7909507,2051.53244661,10518.0720233,4204.83435228,7573.18893701
1515.0,6354.95839221,2050.57653327,10524.5224555,4198.05808154,7586.45967587
1517.5,6355.12420061,2049.62920072,10530.9320481,4191.32343025,7599.69881625
1520.0,6355.28839199,2048.69037384,10537.3010162,4184.63018652,7612.90618834
1522.5,6355.45098227,2047.75997966,10543.6295743,4177.97814403,7626.08163016
1525.0,6355.61198727,2046.83794764,10549.9179369,4171.3671025,7639.22506317
1527.5,6355.77142271,2045.92421001,10556.1663124,4164.7968682,7652.33637144
1530.0,6355.92930416,2045.01870206,10562.3748823,4158.2672544,7665.41542006
1532.5,6356.08564708,2044.12136253,10568.5438498,4151.77807763,7678.46207753
1535.0,6356.24046682,2043.23212245,10574.6734214,4145.32906745,7691.47621577
1537.5,6356.39377863,2042.35088656,10580.7638031,4138.91997051,7704.45771009
1540.0,6356.54559763,2041.47757954,10586.8151998,4132.55055786,7717.40643924
1542.5,6356.69593886,2040.61212688,10592.8278158,4126.22059666,7730.32228536
1545.0,6356.84481724,2039.75445316,10598.8018546,4119.92984971,7743.20513401
1547.5,6356.99224759,2038.90448181,10604.7375187,4113.678075,7756.05487415
1550.0,6357.13824464,2038.06213485,10610.63501,4107.4650252,7768.87139816
1552.5,6357.28282303,2037.22733259,10616.4945294,4101.29045597,7781.65460182
1555.0,6357.42599728,2036.39999338,10622.3162769,4095.15421485,7794.40435778
1557.5,6357.56778187,2035.58005836,10628.1004515,4089.05611856,7807.12046519
1560.0,6357.70819114,2034.76747942,10633.8472514,4082.99596912,7819.80279273
1562.5,6357.84723938,2033.96219446,10639.5568739,4076.97357411,7832.45121721
1565.0,6357.98494078,2033.16414411,10645.2295153,4070.98874711,7845.06561662
1567.5,6358.12130947,2032.37327206,10650.8653709,4065.04130819,7857.64587016
1570.0,6358.25635948,2031.58952541,10656.4646349,4059.13108433,7870.19185826
1572.5,6358.3901048,2030.81285506,10662.0275006,4053.25789513,7882.70346255
1575.0,6358.52255931,2030.04321612,10667.5541603,4047.42147101,7895.18056588
1577.5,6358.65373684,2029.28056497,10673.0448052,4041.6215861,7907.62305229
1580.0,6358.78365116,2028.52481444,10678.4996253,4035.85802433,7920.03080704
1582.5,6358.91231597,2027.7758907,10683.9188098,4030.13056581,7932.40371662
1585.0,6359.03974491,2027.03372935,10689.3025465,4024.43898638,7944.74166871
1587.5,6359.16595157,2026.29826388,10694.6510222,4018.78305713,7957.04459713
1590.0,6359.29094564,2025.56942507,10699.9644226,4013.16254403,7969.31245732
1592.5,6359.41473127,2024.84714058,10705.2429321,4007.57722982,7981.5451641
1595.0,6359.53732003,2024.13133439,10710.486734,4002.02698219,7993.74263516
1597.5,6359.65872363,2023.42192619,10715.6960159,3996.51162011,8005.90479102
1600.0,6359.7789537,2022.7188457,10720.8710209,3991.03095975,8018.03155511
1602.5,6359.89802171,2022.02207062,10726.0119547,3985.58482279,8030.1228537
1605.0,6360.01593901,2021.33154859,10731.1190074,3980.17303685,8042.17861594
1607.5,6360.13271684,2020.64722575,10736.1923687,3974.79543591,8054.19877386
1610.0,6360.24836629,2019.96905108,10741.2322274,3969.45186081,8066.18326233
1612.5,6360.36289836,2019.29697684,10746.2387718,3964.14212793,8078.13201913
1615.0,6360.4763239,2018.63095896,10751.2121896,3958.86598069,8090.04498488
1617.5,6360.58865366,2017.97095762,10756.152668,3953.6232155,8101.9220999
1620.0,6360.69989826,2017.31693768,10761.0603933,3948.41362932,8113.76324895
1622.5,6360.81006821,2016.66884207,10765.9355515,3943.23701534,8125.56834248
1625.0,6360.91917389,2016.02659518,10770.7783279,3938.09316257,8137.33731144
1627.5,6361.02722557,2015.39014481,10775.5889069,3932.98185539,8149.07008819
1630.0,6361.13423341,2014.75943825,10780.3674728,3927.90287309,8160.76660647
1632.5,6361.24020745,2014.13442195,10785.1142088,3922.85603199,8172.42680147
1635.0,6361.3451576,2013.51504128,10789.8292977,3917.84120792,8184.05060976
1637.5,6361.4490937,2012.9012402,10794.5129217,3912.85822746,8195.63796931
1640.0,6361.55202542,2012.29296102,10799.1652622,3907.90692086,8207.18881953
1642.5,6361.65396238,2011.69014502,10803.7865001,3902.9871238,8218.70310121
1645.0,6361.75491405,2011.09275444,10808.3768156,3898.09867779,8230.18075655
1647.5,6361.85488979,2010.5007476,10812.9363884,3893.24143064,8241.62172916
1650.0,6361.95389888,2009.91407678,10817.4653974,3888.41523683,8253.02597595
1652.5,6362.05195047,2009.33269508,10821.9640209,3883.61990305,8264.39349963
1655.0,6362.1490536,2008.75655659,10826.4324365,3878.85519765,8275.7242695
1657.5,6362.24521723,2008.18561646,10830.8708214,3874.12093372,8287.0182524
1660.0,6362.3404502,2007.61983098,10835.2793517,3869.41692114,8298.27541778
1662.5,6362.43476125,2007.05915775,10839.6582034,3864.74296609,8309.49573769
1665.0,6362.528159,2006.5035534,10844.0075513,3860.09887064,8320.67918676
1667.5,6362.62065199,2005.95296449,10848.3275698,3855.48443228,8331.82574224
1670.0,6362.71224866,2005.40734379,10852.6184276,3850.8994438,8342.93538397
1672.5,6362.80295735,2004.86664514,10856.8802943,3846.34376036,8354.0080944
1675.0,6362.89278628,2004.33082224,10861.1133416,3841.81725452,8365.04385854
1677.5,6362.98174359,2003.79982854,10865.31774,3837.31976539,8376.04266405
1680.0,6363.06983734,2003.27361717,10869.4936594,3832.85113701,8387.00450115
1682.5,6363.15707545,2002.75214083,10873.641269,3828.41121873,8397.92932295
1685.0,6363.2434658,2002.23535169,10877.7607372,3823.99986562,8408.81705551
1687.5,6363.32901612,2001.72319407,10881.8522319,3819.61693892,8419.66767299
1690.0,6363.41373409,2001.21560435,10885.9159199,3815.26230462,8430.48115088
1692.5,6363.49762728,2000.71252915,10889.9519675,3810.93575857,8441.25746556
1695.0,6363.58070318,2000.21391794,10893.9605401,3806.63710024,8451.99659438
1697.5,6363.66296917,1999.71972439,10897.9418024,3802.36615541,8462.6985156
1700.0,6363.74443256,1999.22990782,10901.8959185,3798.1227466,8473.36320841
1702.5,6363.82510057,1998.74443468,10905.8230514,3793.90669266,8483.99065295
1705.0,6363.90498031,1998.26328003,10909.7233637,3789.7178084,8494.58083028
1707.5,6363.98407885,1997.786429,10913.597017,3785.55590412,8505.13372239
1710.0,6364.06240313,1997.31387827,10917.4441722,3781.42078997,8515.6493122
1712.5,6364.13996002,1996.84563752,10921.2649894,3777.31235318,8526.12758548
1715.0,6364.21675632,1996.38173093,10925.0596279,3773.23046329,8536.56858252
1717.5,6364.29279873,1995.92219864,10928.8282462,3769.17497281,8546.97232869
1720.0,6364.36809388,1995.46703208,10932.5710022,3765.14573906,8557.33883061
1722.5,6364.44265039,1995.01596594,10936.2880528,3761.1426246,8567.66809722
1725.0,6364.51647827,1994.56893472,10939.9795542,3757.16549756,8577.9601398
1727.5,6364.58958441,1994.12590782,10943.6456617,3753.21423211,8588.21497193
1730.0,6364.66197558,1993.68685914,10947.2865299,3749.28869986,8598.43260952
1732.5,6364.73365848,1993.25176757,10950.9023125,3745.38869536,8608.61307077
1735.0,6364.80463977,1992.8206174,10954.4931627,3741.51404442,8618.75637623
1737.5,6364.87492602,1992.3933989,10958.0592324,3737.66458499,8628.86254877
1740.0,6364.94452379,1991.97010798,10961.6006778,3733.84015175,8638.93161354
1742.5,6365.01343956,1991.55067482,10965.1176545,3730.04057582,8648.96359805
1745.0,6365.08167973,1991.13502856,10968.6103132,3726.26568427,8658.95851831
1747.5,6365.1492507,1990.72313508,10972.0788041,3722.5152998,8668.91632616
1750.0,6365.21615878,1990.31496085,10975.5232767,3718.78925482,8678.83702325
1752.5,6365.28241025,1989.91047298,10978.9438794,3715.08745787,8688.72062123
1755.0,6365.34801132,1989.50963923,10982.3407601,3711.40977955,8698.5671324
1757.5,6365.41296818,1989.11242809,10985.7140659,3707.75608518,8708.37656962
1760.0,6365.47728694,1988.71880877,10989.0639432,3704.12624482,8718.1489464
1762.5,6365.54097369,1988.32874972,10992.3905373,3700.5201336,8727.88427687
1765.0,6365.60403447,1987.94221526,10995.6939932,3696.93763212,8737.58257574
1767.5,6365.66647527,1987.55917334,10998.9744546,3693.37862686,8747.24385836
1770.0,6365.72830205,1987.17959259,11002.232065,3689.84298907,8756.86814069
