time (min),induction layer,Strain 6059,Strain 6325,Strain 6326,Strain 6327
8585.0,3758.22231373,2759.27950006,8267.26616925,5337.01013282,7352.86648531
8585.25,3758.22231338,2759.27950116,8267.26616839,5337.01013643,7352.86648535
8585.5,3758.22231304,2759.27950233,8267.26616753,5337.01014064,7352.8664854
8585.75,3758.2223127,2759.27950357,8267.26616666,5337.01014545,7352.86648544
8586.0,3758.22231235,2759.27950488,8267.2661658,5337.01015088,7352.86648549
8586.25,3758.22231201,2759.27950625,8267.26616494,5337.01015693,7352.86648553
8586.5,3758.22231166,2759.2795077,8267.26616408,5337.01016362,7352.86648558
8586.75,3758.22231132,2759.27950922,8267.26616322,5337.01017095,7352.86648562
8587.0,3758.22231097,2759.2795108,8267.26616235,5337.01017893,7352.86648567
8587.25,3758.22231063,2759.27951246,8267.26616149,5337.01018758,7352.86648571
8587.5,3758.22231028,2759.27951419,8267.26616063,5337.01019691,7352.86648576
8587.75,3758.22230994,2759.27951599,8267.26615977,5337.01020692,7352.8664858
8588.0,3758.2223096,2759.27951786,8267.2661589,5337.01021763,7352.86648585
8588.25,3758.22230925,2759.2795198,8267.26615804,5337.01022904,7352.86648589
8588.5,3758.22230891,2759.27952181,8267.26615718,5337.01024117,7352.86648594
8588.75,3758.22230856,2759.2795239,8267.26615632,5337.01025403,7352.86648598
8589.0,3758.22230822,2759.27952605,8267.26615545,5337.01026733,7352.86648603
8589.25,3758.22230787,2759.27952828,8267.26615459,5337.01028078,7352.86648608
8589.5,3758.22230753,2759.27953059,8267.26615373,5337.01029436,7352.86648612
8589.75,3758.22230718,2759.27953296,8267.26615287,5337.01030808,7352.86648617
8590.0,3758.22230684,2759.27953541,8267.26615201,5337.01032194,7352.86648621
8590.25,3758.2223065,2759.27953793,8267.26615114,5337.01033592,7352.86648626
8590.5,3758.22230615,2759.27954053,8267.26615028,5337.01035003,7352.8664863
8590.75,3758.22230581,2759.27954319,8267.26614942,5337.01036426,7352.86648635
8591.0,3758.22230546,2759.27954594,8267.26614856,5337.0103786,7352.86648639
8591.25,3758.22230512,2759.27954875,8267.26614769,5337.01039306,7352.86648644
8591.5,3758.22230477,2759.27955165,8267.26614683,5337.01040762,7352.86648648
8591.75,3758.22230443,2759.27955461,8267.26614597,5337.01042229,7352.86648653
8592.0,3758.22230408,2759.27955766,8267.26614511,5337.01043706,7352.86648657
8592.25,3758.22230374,2759.27956077,8267.26614424,5337.01045193,7352.86648662
8592.5,3758.2223034,2759.27956397,8267.26614338,5337.01046688,7352.86648666
8592.75,3758.22230305,2759.27956724,8267.26614252,5337.01048192,7352.86648671
8593.0,3758.22230271,2759.27957058,8267.26614166,5337.01049704,7352.86648675
8593.25,3758.22230236,2759.27957401,8267.2661408,5337.01051224,7352.8664868
8593.5,3758.22230202,2759.2795775,8267.26613993,5337.01052751,7352.86648684
8593.75,3758.22230167,2759.27958108,8267.26613907,5337.01054285,7352.86648689
8594.0,3758.22230133,2759.27958473,8267.26613821,5337.01055825,7352.86648693
8594.25,3758.22230099,2759.27958846,8267.26613735,5337.01057371,7352.86648698
8594.5,3758.22230064,2759.27959221,8267.26613648,5337.01058923,7352.86648702
8594.75,3758.2223003,2759.27959597,8267.26613562,5337.01060479,7352.86648707
8595.0,3758.22229995,2759.27959974,8267.26613476,5337.01062039,7352.86648711
8595.25,3758.22229961,2759.27960351,8267.2661339,5337.01063603,7352.86648716
8595.5,3758.22229926,2759.27960729,8267.26613303,5337.0106517,7352.8664872
8595.75,3758.22229892,2759.27961108,8267.26613217,5337.0106674,7352.86648725
8596.0,3758.22229857,2759.27961487,8267.26613131,5337.01068312,7352.86648729
8596.25,3758.22229823,2759.27961867,8267.26613045,5337.01069886,7352.86648734
8596.5,3758.22229789,2759.27962248,8267.26612959,5337.01071461,7352.86648738
8596.75,3758.22229754,2759.27962629,8267.26612872,5337.01073037,7352.86648743
8597.0,3758.2222972,2759.27963011,8267.26612786,5337.01074613,7352.86648747
8597.25,3758.22229685,2759.27963393,8267.266127,5337.01076188,7352.86648752
8597.5,3758.22229651,2759.27963777,8267.26612614,5337.01077762,7352.86648756
8597.75,3758.22229616,2759.2796416,8267.26612527,5337.01079334,7352.86648761
8598.0,3758.22229582,2759.27964545,8267.26612441,5337.01080904,7352.86648765
8598.25,3758.22229547,2759.2796493,8267.26612355,5337.01082472,7352.8664877
8598.5,3758.22229513,2759.27965316,8267.26612269,5337.01084035,7352.86648774
8598.75,3758.22229479,2759.27965702,8267.26612182,5337.01085595,7352.86648779
8599.0,3758.22229444,2759.27966089,8267.26612096,5337.01087151,7352.86648783
8599.25,3758.2222941,2759.27966476,8267.2661201,5337.01088701,7352.86648788
8599.5,3758.22229375,2759.27966864,8267.26611924,5337.01090245,7352.86648793
8599.75,3758.22229341,2759.27967253,8267.26611838,5337.01091783,7352.86648797
8600.0,3758.22229306,2759.27967642,8267.26611751,5337.01093314,7352.86648802
8600.25,3758.22229272,2759.27968032,8267.26611665,5337.01094837,7352.86648806
8600.5,3758.22229237,2759.27968422,8267.26611579,5337.01096352,7352.86648811
8600.75,3758.22229203,2759.27968813,8267.26611493,5337.01097858,7352.86648815
8601.0,3758.22229169,2759.27969205,8267.26611406,5337.01099354,7352.8664882
8601.25,3758.22229134,2759.27969597,8267.2661132,5337.0110084,7352.86648824
8601.5,3758.222291,2759.27969989,8267.26611234,5337.01102315,7352.86648829
8601.75,3758.22229065,2759.27970382,8267.26611148,5337.01103779,7352.86648833
8602.0,3758.22229031,2759.27970776,8267.26611061,5337.0110523,7352.86648838
8602.25,3758.22228996,2759.2797117,8267.26610975,5337.01106668,7352.86648842
8602.5,3758.22228962,2759.27971565,8267.26610889,5337.01108093,7352.86648847
8602.75,3758.22228928,2759.2797196,8267.26610803,5337.01109504,7352.86648851
8603.0,3758.22228893,2759.27972355,8267.26610717,5337.01110899,7352.86648856
8603.25,3758.22228859,2759.27972752,8267.2661063,5337.01112279,7352.8664886
8603.5,3758.22228824,2759.27973148,8267.26610544,5337.01113643,7352.86648865
8603.75,3758.2222879,2759.27973545,8267.26610458,5337.01114989,7352.86648869
8604.0,3758.22228755,2759.27973943,8267.26610372,5337.01116318,7352.86648874
8604.25,3758.22228721,2759.27974341,8267.26610285,5337.01117628,7352.86648878
8604.5,3758.22228686,2759.27974739,8267.26610199,5337.01118919,7352.86648883
8604.75,3758.22228652,2759.27975138,8267.26610113,5337.0112019,7352.86648887
8605.0,3758.22228618,2759.27975538,8267.26610027,5337.0112144,7352.86648892
8605.25,3758.22228583,2759.27975937,8267.2660994,5337.01122668,7352.86648896
8605.5,3758.22228549,2759.27976338,8267.26609854,5337.01123875,7352.86648901
8605.75,3758.22228514,2759.27976738,8267.26609768,5337.01125058,7352.86648905
8606.0,3758.2222848,2759.2797714,8267.26609682,5337.01126218,7352.8664891
8606.25,3758.22228445,2759.27977541,8267.26609596,5337.01127353,7352.86648914
8606.5,3758.22228411,2759.27977943,8267.26609509,5337.01128463,7352.86648919
8606.75,3758.22228376,2759.27978345,8267.26609423,5337.01129547,7352.86648923
8607.0,3758.22228342,2759.27978748,8267.26609337,5337.01130604,7352.86648928
8607.25,3758.22228308,2759.27979151,8267.26609251,5337.01131633,7352.86648932
8607.5,3758.22228273,2759.27979555,8267.26609164,5337.01132634,7352.86648937
8607.75,3758.22228239,2759.27979959,8267.26609078,5337.01133606,7352.86648941
8608.0,3758.22228204,2759.27980363,8267.26608992,5337.01134547,7352.86648946
8608.25,3758.2222817,2759.27980768,8267.26608906,5337.01135458,7352.8664895
8608.5,3758.22228135,2759.27981173,8267.26608819,5337.01136337,7352.86648955
8608.75,3758.22228101,2759.27981578,8267.26608733,5337.01137183,7352.86648959
8609.0,3758.22228066,2759.27981984,8267.26608647,5337.01137997,7352.86648964
8609.25,3758.22228032,2759.2798239,8267.26608561,5337.01138775,7352.86648968
